customer_id,car_model,contract_type,tenure_months,service_calls_last_3m,satisfaction_score,monthly_payment,complaint_level,text,churn,churn_proba,churn_pred
1,Sedan Basic,finance,27,1,2,274.16,3,Customer drives a Sedan Basic. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is financing the car. Customer mentions switching to another brand soon.,1,0.846954999400195,1
2,Truck Utility,subscription,2,1,4,367.95,0,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. Some minor service issues were reported recently. Customer is on a flexible subscription contract. Customer expresses loyalty to the brand.,1,0.4192901456675648,1
3,SUV Sport,lease,40,0,1,441.43,2,Customer drives a SUV Sport. Customer is very unhappy with the car. No recent service issues or complaints. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,1,0.8412300372222332,1
4,SUV Family,finance,27,6,3,593.62,0,Customer drives a SUV Family. Customer is neutral about the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer expresses loyalty to the brand.,1,0.6003161317393263,1
5,SUV Family,subscription,46,0,2,398.88,2,Customer drives a SUV Family. Customer is very unhappy with the car. No recent service issues or complaints. Customer is on a flexible subscription contract. Customer is considering alternatives due to recurring issues.,1,0.8995100188016967,1
6,EV Compact,finance,37,1,1,370.9,3,Customer drives a EV Compact. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car. Customer mentions switching to another brand soon.,0,0.923454782526321,1
7,Sedan Basic,finance,47,0,3,432.84,2,Customer drives a Sedan Basic. Customer is neutral about the car. No recent service issues or complaints. Customer is financing the car. Customer is considering alternatives due to recurring issues.,1,0.6639921592965307,1
8,Truck Utility,finance,28,1,3,151.18,1,Customer drives a Truck Utility. Customer is neutral about the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is financing the car.,1,0.4460429186398091,1
9,Sedan Premium,lease,1,4,2,256.16,3,Customer drives a Sedan Premium. Customer is very unhappy with the car. Frequent service complaints about reliability and repairs. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1,0.9114624779851792,1
10,Sedan Basic,finance,8,3,5,354.96,0,Customer drives a Sedan Basic. Customer is satisfied and generally likes the car. Frequent service complaints about reliability and repairs. Customer is financing the car. Customer expresses loyalty to the brand.,0,0.37365863186360154,1
11,SUV Sport,lease,28,0,1,314.44,2,Customer drives a SUV Sport. Customer is very unhappy with the car. No recent service issues or complaints. Customer is currently leasing the vehicle. Customer is considering alternatives due to recurring issues.,1,0.8412300372222332,1
12,EV Compact,lease,24,2,3,207.9,3,Customer drives a EV Compact. Customer is neutral about the car. Some minor service issues were reported recently. Customer considers the monthly payment affordable. Customer is currently leasing the vehicle. Customer mentions switching to another brand soon.,1,0.7083983877362438,1
13,Truck Utility,finance,47,1,1,502.93,1,Customer drives a Truck Utility. Customer is very unhappy with the car. Some minor service issues were reported recently. Customer is financing the car.,0,0.8273543215461251,1
14,Truck Utility,finance,25,0,4,431.17,0,Customer drives a Truck Utility. Customer is satisfied and generally likes the car. No recent service issues or complaints. Customer is financing the car. Customer expresses loyalty to the brand.,0,0.18936835493728568,0
15,Truck Utility,subscription,51,4,3,416.83,1,Customer drives a Truck Utility. Customer is neutral about the car. Frequent service complaints about reliability and repairs. Customer is on a flexible subscription contract.,0,0.8795110709123817,1
